ticker,start,end,others
NVDA,01.01.2024,19.07.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,01.01.2025,20.07.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,01.02.2024,19.08.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,01.02.2025,20.08.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,01.03.2024,17.09.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,01.03.2025,17.09.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,01.04.2024,18.10.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,01.04.2025,18.10.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,01.05.2024,17.11.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,01.05.2025,17.11.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,01.06.2024,18.12.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,01.06.2025,18.12.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,01.07.2024,17.01.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,01.08.2024,17.02.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,01.09.2024,20.03.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,01.10.2024,19.04.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,01.11.2024,20.05.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,01.12.2024,19.06.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,02.01.2024,20.07.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,02.01.2025,21.07.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,02.02.2024,20.08.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,02.02.2025,21.08.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,02.03.2024,18.09.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,02.03.2025,18.09.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,02.04.2024,19.10.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,02.04.2025,19.10.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,02.05.2024,18.11.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,02.05.2025,18.11.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,02.06.2024,19.12.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,02.06.2025,19.12.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,02.07.2024,18.01.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,02.08.2024,18.02.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,02.09.2024,21.03.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,02.10.2024,20.04.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,02.11.2024,21.05.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,02.12.2024,20.06.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,03.01.2024,21.07.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,03.01.2025,22.07.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,03.02.2024,21.08.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,03.02.2025,22.08.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,03.03.2024,19.09.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,03.03.2025,19.09.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,03.04.2024,20.10.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,03.04.2025,20.10.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,03.05.2024,19.11.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,03.05.2025,19.11.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,03.06.2024,20.12.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,03.06.2025,20.12.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,03.07.2024,19.01.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,03.08.2024,19.02.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,03.09.2024,22.03.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,03.10.2024,21.04.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,03.11.2024,22.05.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,03.12.2024,21.06.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,04.01.2024,22.07.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,04.01.2025,23.07.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,04.02.2024,22.08.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,04.02.2025,23.08.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,04.03.2024,20.09.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,04.03.2025,20.09.2025,AMD;TSM;AVGO;INTC;QQQ
NVDA,04.04.2024,21.10.2024,AMD;TSM;AVGO;INTC;QQQ
NVDA,04.04.2025,21.10.2025,AMD;TSM;AVGO;INTC;QQQ
